InChI,Key,smiles,Formula,Weight,logP(o/w),b_rotN,vol,lip_violation,ASA_P,Natural,ChemicalName
"InChI=1S/C6H7NO3/c7-5(6(9)10)3-1-2-4-8/h1-4H,7H2,(H,9,10)",QCGTZPZKJPTAEP-UHFFFAOYSA-N,OC(=O)C(N)=CC=CC=O,C14H12O3,141.12599,-2.1537,3,124.88,0,206.58008,1,"(2<I>Z</I>,4<I>E</I>)-2-amino-6-oxo-hexa-2,4-dienoic acid"
"InChI=1S/C5H13O7P/c1-5(8,3-6)4(7)2-12-13(9,10)11/h4,6-8H,2-3H2,1H3,(H2,9,10,11)",XMWHRVNVKDKBRG-UHFFFAOYSA-N,P(OCC(O)C(O)(CO)C)(O)(O)=O,C15H12N2O,216.12599,-2.7240,5,139.88,0,240.2883,0,"(2,3,4-trihydroxy-3-methyl-butyl) dihydrogen phosphate"
"InChI=1S/C7H6O6/c8-5(9)3-1-2-4(6(10)11)7(12)13/h1-3H,(H,8,9)(H,10,11)(H,12,13)",SLUDRBHRUDRZJZ-UHFFFAOYSA-N,OC(=O)C(=CC=CC(O)=O)C(O)=O,C4H4KNO4S,186.11899,0.0110,4,151.00,0,284.8721,1,"(3<I>E</I>)-buta-1,3-diene-1,1,4-tricarboxylic acid"
"InChI=1S/C6H5ClO4/c7-6(3-4(8)9)2-1-5(10)11-6/h1-2H,3H2,(H,8,9)",WGZZDRVKIXVYEI-UHFFFAOYSA-N,ClC1(OC(=O)C=C1)CC(O)=O,C7H6O3,176.55499,1.2990,2,125.00,0,219.30048,1,2-(2-chloro-5-oxo-2-furyl)acetic acid
"InChI=1S/C7H12O5/c1-3(2)4(6(9)10)5(8)7(11)12/h3-5,8H,1-2H3,(H,9,10)(H,11,12)",RNQHMTFBUSSBJQ-UHFFFAOYSA-N,OC(C(C(C)C)C(O)=O)C(O)=O,C7H8N4O2,176.168,-0.0150,4,138.00,0,189.25998,0,2-hydroxy-3-isopropyl-butanedioic acid
"InChI=1S/C6H10O6/c7-2-5(10)3(8)1-4(9)6(11)12/h3,5,7-8,10H,1-2H2,(H,11,12)",WPAMZTWLKIDIOP-UHFFFAOYSA-N,OC(C(O)CO)CC(=O)C(O)=O,C8H10N4O2,178.14,-2.4020,5,135.50,0,244.56023,1,"4,5,6-trihydroxy-2-oxo-hexanoic acid"
"InChI=1S/C6H10O4/c1-6(2,3-7)4(8)5(9)10/h7H,3H2,1-2H3,(H,9,10)",PKVVTUWHANFMQC-UHFFFAOYSA-N,OC(=O)C(=O)C(CO)(C)C,C8H14ClN5,146.142,-0.5300,3,115.38,0,152.44263,0,"4-hydroxy-3,3-dimethyl-2-oxo-butanoic acid"
"InChI=1S/C6H8O3/c1-6(2)3-9-5(8)4(6)7/h3H2,1-2H3",HRTOQFBQOFIFEE-UHFFFAOYSA-N,O1CC(C)(C)C(=O)C1=O,C8H8O3,128.127,0.0760,0,106.50,0,118.31168,1,"4,4-dimethyltetrahydrofuran-2,3-dione"
"InChI=1S/C6H12O5/c7-2-4-6(10)3(8)1-5(9)11-4/h3-10H,1-2H2",PMMURAAUARKVCB-UHFFFAOYSA-N,O1C(CO)C(O)C(O)CC1O,C8H9NO2,164.157,-1.9170,1,124.00,0,178.81653,1,"6-(hydroxymethyl)tetrahydropyran-2,4,5-triol"
"InChI=1S/C6H11O6PS/c1-14-3-2-5(7)6(8)4-12-13(9,10)11/h4,8H,2-3H2,1H3,(H2,9,10,11)",YIEMFVNCENFBSD-UHFFFAOYSA-N,S(CCC(=O)/C(/O)=C/OP(O)(O)=O)C,C9H10O3,242.188,-1.0990,6,170.75,0,307.36874,0,[(<I>Z</I>)-2-hydroxy-5-methylsulfanyl-3-oxo-pent-1-enyl] dihydrogen phosphate
"InChI=1S/C9H10O6/c10-6(4-5-8(12)13)2-1-3-7(11)9(14)15/h1-3,11H,4-5H2,(H,12,13)(H,14,15)",RFENOVFRMPRRJI-UHFFFAOYSA-N,OC(=O)CCC(=O)\C=C\C=C(/O)\C(O)=O,C9H8O2,214.17299,0.0900,6,182.00,0,277.39725,1,"(2<I>Z</I>,4<I>E</I>)-2-hydroxy-6-oxo-nona-2,4-dienedioic acid"
"InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)",HWXBTNAVRSUOJR-UHFFFAOYSA-N,OC(CCC(O)=O)C(O)=O,C10H11ClO3,148.114,-0.7430,4,114.50,0,222.93649,0,2-hydroxypentanedioic acid
"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)/p-2",ROBFUDYVXSDBQM-UHFFFAOYSA-L,OC(C(=O)[O-])C(=O)[O-],C10H11N3O3S,118.044,-1.0310,2,83.38,0,214.62418,1,2-hydroxypropanedioate
"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)",ROBFUDYVXSDBQM-UHFFFAOYSA-N,OC(C(O)=O)C(O)=O,C10H12O3,120.06,-1.2730,2,83.38,0,236.15234,1,2-hydroxypropanedioic acid
"InChI=1S/C6H11O9P/c7-3(1-4(8)6(10)11)5(9)2-15-16(12,13)14/h3,5,7,9H,1-2H2,(H,10,11)(H2,12,13,14)",OVPRPPOVAXRCED-UHFFFAOYSA-N,P(OCC(O)C(O)CC(=O)C(O)=O)(O)(O)=O,C12H7Cl3O2,258.11899,-3.2890,7,171.00,0,332.4895,0,"4,5-dihydroxy-2-oxo-6-phosphonooxy-hexanoic acid"
"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",JVQYSWDUAOAHFM-UHFFFAOYSA-N,OC(=O)C(=O)C(CC)C,C13H10N2O3S,130.14299,0.7630,3,119.50,0,123.47482,1,3-methyl-2-oxo-pentanoic acid
"InChI=1S/C5H7NO4/c6-4(8)2-1-3(7)5(9)10/h1-2H2,(H2,6,8)(H,9,10)",COJBGNAUUSNXHX-UHFFFAOYSA-N,OC(=O)C(=O)CCC(=O)N,C13H18O2,145.114,-1.7030,4,116.50,0,227.41446,0,"5-amino-2,5-dioxo-pentanoic acid"
"InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)",QHKABHOOEWYVLI-UHFFFAOYSA-N,OC(=O)C(=O)C(C)C,C13H9Cl3N2O,116.116,0.3210,2,102.75,0,128.25418,1,3-methyl-2-oxo-butanoic acid
"InChI=1S/C6H10O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-4,7-10H,1H2,(H,12,13)",VBUYCZFBVCCYFD-UHFFFAOYSA-N,OC(C(O)C(=O)C(O)=O)C(O)CO,C14H12O3,194.13899,-3.0630,5,141.13,0,270.72485,1,"3,4,5,6-tetrahydroxy-2-oxo-hexanoic acid"
"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",KPGXRSRHYNQIFN-UHFFFAOYSA-N,OC(=O)C(=O)CCC(O)=O,C15H12N2O,146.09799,-0.9690,4,114.50,0,241.15192,0,2-oxopentanedioic acid
"InChI=1S/C26H44N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3,4)10-48-54(45,46)51-53(43,44)47-9-15-19(50-52(40,41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-15,18- 20,24,34,36-37H,5-10H2,1-4H3,(H,28,35)(H,29,38)(H,43,44",PEKYNTFSOBAABV-UHFFFAOYSA-N,S(C(=O)C(C(O)C)C)CCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,C4H4KNO4S,867.65698,-4.9329,24,619.50,3,655.26752,1,"<I>S</I>-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]eth yl] 3-hydroxy-2-methyl-butanethioate"
"InChI=1S/C26H42N7O18P3S/c1-13(14(2)34)25(39)55-8-7-28-16(35)5-6-29-23(38)20(37)26(3,4)10-48-54(45,46)51-53(43,44)47-9-15-19(50-52(40,41)42)18(36)24(49-15)33-12-32-17-21(27)30-11-31-22(17)33/h11-13,15, 18-20,24,36-37H,5-10H2,1-4H3,(H,28,35)(H,29,38)(H,43,44",NHNODHRSCRALBF-UHFFFAOYSA-N,S(C(=O)C(C(=O)C)C)CCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,C7H6O3,865.64099,-5.0199,24,617.88,3,657.53131,0,"<I>S</I>-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]eth yl] 2-methyl-3-oxo-butanethioate"
"InChI=1S/C26H44N7O17P3S/c1-5-14(2)25(38)54-9-8-28-16(34)6-7-29-23(37)20(36)26(3,4)11-47-53(44,45)50-52(42,43)46-10-15-19(49-51(39,40)41)18(35)24(48-15)33-13-32-17-21(27)30-12-31-22(17)33/h12-15,18-20, 24,35-36H,5-11H2,1-4H3,(H,28,34)(H,29,37)(H,42,43)(H,44",LYNVNYDEQMMNMZ-UHFFFAOYSA-N,S(C(=O)C(CC)C)CCNC(=O)CCNC(=O)C(O)C(COP(OP(OCC1OC(n2c3ncnc(N)c3nc2)C(O)C1OP(O)(O)=O)(O)=O)(O)=O)(C)C,C7H8N4O2,851.65796,-3.7459,24,611.25,3,632.06879,1,"<I>S</I>-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]eth yl] 2-methylbutanethioate"
"InChI=1S/C46H70O2/c1-36(2)18-10-19-37(3)20-11-21-38(4)22-12-23-39(5)24-13-25-40(6)26-14-27-41(7)28-15-29-42(8)30-16-31-43(9)34-35-44-32-17-33-45(47)46(44)48/h17-18,20,22,24,26,28,30,32-34,47-48H,10-16 ,19,21,23,25,27,29,31,35H2,1-9H3",YNPGYMZVNLIZLD-UHFFFAOYSA-N,Oc1c(cccc1O)CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C,C8H10N4O2,655.06396,8.4080,23,708.88,2,136.9362,1,"3-[(2<I>Z</I>,6<I>E</I>,10<I>E</I>,14<I>Z</I>,18<I>E</I>,22<I>Z</I>,26<I>Z</I>)-3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl]benzene-1,2-diol"
"InChI=1S/C46H70O2/c1-10-11-12-20-37(2)21-13-22-38(3)23-14-24-39(4)25-15-26-40(5)27-16-28-41(6)29-17-30-42(7)31-18-32-43(8)35-36-44-33-19-34-45(48-9)46(44)47/h10-11,19,21,23,25,27,29,31,33-35,47H,12-18 ,20,22,24,26,28,30,32,36H2,1-9H3",MJLXNZUZQMWZTB-UHFFFAOYSA-N,O(C)c1cccc(CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=CC)C)C)C)C)C)C)C)c1O,C8H14ClN5,655.06396,8.6280,24,716.63,2,165.10399,0,"2-[(2<I>Z</I>,6<I>Z</I>,10<I>E</I>,14<I>Z</I>,18<I>Z</I>,22<I>E</I>,26<I>E</I>,30<I>E</I>)-3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl]-6-methoxy-phenol"
"InChI=1S/C46H70O/c1-37(2)19-12-20-38(3)21-13-22-39(4)23-14-24-40(5)25-15-26-41(6)27-16-28-42(7)29-17-30-43(8)31-18-32-44(9)35-36-45-33-10-11-34-46(45)47/h10-11,19,21,23,25,27,29,31,33-35,47H,12-18,20, 22,24,26,28,30,32,36H2,1-9H3",VUNQJPPPTJIREN-UHFFFAOYSA-N,Oc1ccccc1CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C,C8H8O3,639.065,8.7180,23,702.25,2,106.64729,1,"2-[(2<I>Z</I>,6<I>E</I>,10<I>E</I>,14<I>Z</I>,18<I>E</I>,22<I>Z</I>,26<I>Z</I>)-3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl]phenol"
"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)",TYEYBOSBBBHJIV-UHFFFAOYSA-N,OC(=O)C(=O)CC,C8H9NO2,102.089,-0.0490,2,88.50,0,140.56956,0,2-oxobutanoic acid
"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)",GXIURPTVHJPJLF-UHFFFAOYSA-N,P(OC(C(O)=O)CO)(O)(O)=O,C9H10O3,186.056,-2.3590,4,113.00,0,279.1777,1,3-hydroxy-2-phosphonooxy-propanoic acid
"InChI=1S/C14H26N3O17P3/c1-14(6-18,33-35(23,24)25)8(19)5-31-37(28,29)34-36(26,27)30-4-7-10(20)11(21)12(32-7)17-3-2-9(15)16-13(17)22/h2-3,7-8,10-12,18-21H,4-6H2,1H3,(H,26,27)(H,28,29)(H2,15,16,22)(H2,23 ,24,25)",HTJXTKBIUVFUAR-UHFFFAOYSA-N,P(OCC1OC(N2C=CC(=NC2=O)N)C(O)C1O)(OP(OCC(O)C(OP(O)(O)=O)(CO)C)(O)=O)(O)=O,C9H8O2,601.28796,-6.1750,13,381.00,3,532.24219,1,"[[5-(4-amino-2-oxo-pyrimidin-1-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxy-butyl) hydrogen phosphate"
"InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)",XOHUEYCVLUUEJJ-UHFFFAOYSA-N,P(OC(C(O)=O)COP(O)(O)=O)(O)(O)=O,C10H11ClO3,266.035,-3.4943,6,148.13,0,361.92822,0,"2,3-diphosphonooxypropanoic acid"
"InChI=1S/C6H5Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-3,6,10H",KRQUJBMPSDPYMT-UHFFFAOYSA-N,ClC1C=C(Cl)C(O)C=C1Cl,C10H11N3O3S,199.46399,2.6700,0,139.00,0,127.22112,1,"2,4,5-trichlorocyclohexa-2,5-dien-1-ol"
"InChI=1S/C5H12N2O2/c1-3(6)2-4(7)5(8)9/h3-4H,2,6-7H2,1H3,(H,8,9)",PCEJMSIIDXUDSN-UHFFFAOYSA-N,OC(=O)C(N)CC(N)C,C10H12O3,132.16299,-3.4107,3,114.00,0,197.61777,0,"2,4-diaminopentanoic acid"
"InChI=1S/C6H6Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,5-6,9-10H",CPXFTNFOQXXRBF-UHFFFAOYSA-N,ClC1=CC(O)C(Cl)=CC1O,C12H7Cl3O2,181.01799,1.4220,0,129.63,0,110.8888,1,"2,5-dichlorocyclohexa-2,5-diene-1,4-diol"
"InChI=1S/C6H4Cl2O2/c7-3-1-5(9)4(8)2-6(3)10/h1-2,9-10H",AYNPIRVEWMUJDE-UHFFFAOYSA-N,Clc1cc(O)c(Cl)cc1O,C13H10N2O3S,179.002,2.5440,0,129.63,0,78.775276,1,"2,5-dichlorobenzene-1,4-diol"
"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,Clc1ccc(Cl)cc1O,C13H18O2,163.00299,2.8170,0,126.88,0,41.787121,0,"2,5-dichlorophenol"
"InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h3-4,7,9-10H,1H2,(H,12,13)",RXMWXENJQAINCC-UHFFFAOYSA-N,OC(C(O)C(=O)CO)C(=O)C(O)=O,C13H9Cl3N2O,192.123,-2.9350,5,141.13,0,295.93338,1,"3,4,6-trihydroxy-2,5-dioxo-hexanoic acid"
"InChI=1S/C5H12O9P2/c1-5(3-6)4(7)2-12-15(8,9)14-16(10,11)13-5/h4,6-7H,2-3H2,1H3,(H,8,9)(H,10,11)",SFRQRNJMIIUYDI-UHFFFAOYSA-N,P1(OC(CO)(C)C(O)COP(O1)(O)=O)(O)=O,C14H12O3,278.09,-2.8210,1,163.75,0,272.50146,0,"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2&lambda;<sup>5</sup>,4&lambda;<sup>5</sup>-trioxadiphosphocan-7-ol"
